time 00h 19m 11s, episodes 6657, frames 1.071717M, mean epr -33.26, run loss 3261.70
time 00h 19m 16s, episodes 6670, frames 1.076473M, mean epr -8.21, run loss 2949.47
time 00h 19m 22s, episodes 6688, frames 1.081874M, mean epr 245.80, run loss 2826.23
time 00h 19m 27s, episodes 6709, frames 1.086630M, mean epr -104.60, run loss 2062.17
time 00h 19m 32s, episodes 6723, frames 1.091445M, mean epr -26.16, run loss 1441.97
time 00h 19m 37s, episodes 6744, frames 1.096100M, mean epr -36.85, run loss 1821.47
time 00h 19m 43s, episodes 6763, frames 1.101335M, mean epr -67.38, run loss 2371.91
time 00h 19m 48s, episodes 6777, frames 1.105932M, mean epr 1.56, run loss 1189.78
time 00h 19m 54s, episodes 6801, frames 1.111237M, mean epr -51.95, run loss 2903.88
time 00h 19m 59s, episodes 6821, frames 1.116032M, mean epr -44.04, run loss 2576.78
time 00h 20m 04s, episodes 6849, frames 1.120862M, mean epr 13.55, run loss 1453.38
time 00h 20m 09s, episodes 6864, frames 1.125879M, mean epr 33.28, run loss 1944.83
time 00h 20m 15s, episodes 6883, frames 1.131165M, mean epr -144.22, run loss 2077.98
time 00h 20m 20s, episodes 6902, frames 1.135963M, mean epr 49.59, run loss 2074.70
time 00h 20m 25s, episodes 6920, frames 1.140739M, mean epr -70.85, run loss 1644.84
time 00h 20m 30s, episodes 6936, frames 1.145719M, mean epr 34.07, run loss 2524.77
time 00h 20m 36s, episodes 6950, frames 1.150395M, mean epr -159.12, run loss 2005.37
time 00h 20m 41s, episodes 6963, frames 1.155460M, mean epr 47.40, run loss 3041.03
time 00h 20m 46s, episodes 6982, frames 1.160178M, mean epr -53.26, run loss 3244.70
time 00h 20m 51s, episodes 6996, frames 1.164922M, mean epr -114.58, run loss 3375.53
time 00h 20m 56s, episodes 7019, frames 1.169818M, mean epr -145.49, run loss 4209.40
time 00h 21m 02s, episodes 7044, frames 1.174730M, mean epr -87.23, run loss 5765.65
time 00h 21m 07s, episodes 7059, frames 1.179548M, mean epr 201.49, run loss 2764.43
time 00h 21m 12s, episodes 7073, frames 1.184681M, mean epr 12.98, run loss 2895.81
time 00h 21m 17s, episodes 7086, frames 1.189183M, mean epr -120.49, run loss 4676.85
time 00h 21m 22s, episodes 7103, frames 1.193852M, mean epr -23.52, run loss 2549.96
time 00h 21m 28s, episodes 7120, frames 1.198927M, mean epr -5.33, run loss 4099.49
time 00h 21m 33s, episodes 7131, frames 1.203505M, mean epr 300.36, run loss 1456.29
time 00h 21m 38s, episodes 7143, frames 1.208235M, mean epr -87.14, run loss 2769.11
time 00h 21m 43s, episodes 7158, frames 1.213440M, mean epr -452.37, run loss 8770.50
time 00h 21m 48s, episodes 7172, frames 1.218146M, mean epr -324.54, run loss 5369.72
time 00h 21m 54s, episodes 7186, frames 1.223166M, mean epr -164.05, run loss 3174.50
time 00h 21m 59s, episodes 7209, frames 1.227794M, mean epr -126.85, run loss 3544.83
time 00h 22m 04s, episodes 7229, frames 1.232842M, mean epr -59.34, run loss 2481.96
time 00h 22m 09s, episodes 7251, frames 1.237879M, mean epr -47.51, run loss 3081.79
time 00h 22m 15s, episodes 7271, frames 1.242916M, mean epr 262.62, run loss 1181.33
time 00h 22m 20s, episodes 7294, frames 1.247967M, mean epr -98.93, run loss 1704.44
time 00h 22m 26s, episodes 7309, frames 1.253147M, mean epr 153.48, run loss 3264.49
time 00h 22m 31s, episodes 7321, frames 1.258117M, mean epr -50.78, run loss 2778.03
