time 00h 36m 37s, episodes 4206, frames 0.738928M, mean epr -241.58, run loss 3372.42
time 00h 36m 49s, episodes 4214, frames 0.742560M, mean epr -72.75, run loss 1861.48
time 00h 36m 59s, episodes 4222, frames 0.745919M, mean epr 72.34, run loss 2304.00
time 00h 37m 11s, episodes 4227, frames 0.749837M, mean epr 221.96, run loss 2687.15
time 00h 37m 21s, episodes 4242, frames 0.753261M, mean epr -321.41, run loss 3907.41
time 00h 37m 31s, episodes 4257, frames 0.756626M, mean epr -8.26, run loss 3421.84
time 00h 37m 42s, episodes 4272, frames 0.760173M, mean epr -218.35, run loss 2809.86
time 00h 37m 52s, episodes 4285, frames 0.763602M, mean epr 55.03, run loss 1457.71
time 00h 38m 02s, episodes 4299, frames 0.767025M, mean epr 281.94, run loss 2836.90
time 00h 38m 12s, episodes 4309, frames 0.770318M, mean epr 148.84, run loss 4228.22
time 00h 38m 22s, episodes 4320, frames 0.773679M, mean epr -13.13, run loss 2370.93
time 00h 38m 32s, episodes 4331, frames 0.777099M, mean epr -226.42, run loss 3217.58
time 00h 38m 42s, episodes 4347, frames 0.780619M, mean epr -50.85, run loss 3177.89
time 00h 38m 53s, episodes 4356, frames 0.784200M, mean epr -234.67, run loss 2782.85
time 00h 39m 04s, episodes 4383, frames 0.788018M, mean epr 22.76, run loss 1873.51
time 00h 39m 14s, episodes 4396, frames 0.791558M, mean epr -61.05, run loss 1957.80
time 00h 39m 25s, episodes 4416, frames 0.795588M, mean epr -6.84, run loss 2163.68
time 00h 39m 37s, episodes 4425, frames 0.799574M, mean epr 37.58, run loss 3308.52
time 00h 39m 47s, episodes 4442, frames 0.803308M, mean epr 9.82, run loss 2550.08
time 00h 39m 57s, episodes 4458, frames 0.806830M, mean epr -10.61, run loss 1950.51
time 00h 40m 10s, episodes 4472, frames 0.811194M, mean epr 282.16, run loss 2269.59
time 00h 40m 20s, episodes 4490, frames 0.814768M, mean epr -123.41, run loss 2567.60
time 00h 40m 31s, episodes 4500, frames 0.818687M, mean epr -221.35, run loss 3188.29
time 00h 40m 42s, episodes 4514, frames 0.822352M, mean epr -201.32, run loss 2377.12
time 00h 40m 53s, episodes 4534, frames 0.826241M, mean epr -263.86, run loss 4541.77
time 00h 41m 03s, episodes 4547, frames 0.829942M, mean epr 23.12, run loss 1727.85
time 00h 41m 13s, episodes 4559, frames 0.833451M, mean epr -216.72, run loss 2491.66
time 00h 41m 24s, episodes 4575, frames 0.837088M, mean epr -182.80, run loss 2072.68
time 00h 41m 35s, episodes 4595, frames 0.840841M, mean epr -187.78, run loss 2922.67
time 00h 41m 45s, episodes 4609, frames 0.844594M, mean epr 177.78, run loss 2960.71
time 00h 41m 55s, episodes 4633, frames 0.848083M, mean epr 4.28, run loss 1492.47
time 00h 42m 06s, episodes 4642, frames 0.851537M, mean epr 4.59, run loss 1189.82
time 00h 42m 16s, episodes 4650, frames 0.854987M, mean epr -1.62, run loss 2267.71
time 00h 42m 26s, episodes 4664, frames 0.858469M, mean epr -63.59, run loss 2325.75
time 00h 42m 36s, episodes 4677, frames 0.861935M, mean epr -189.09, run loss 2822.76
time 00h 42m 46s, episodes 4688, frames 0.865427M, mean epr -227.87, run loss 4857.26
time 00h 42m 56s, episodes 4698, frames 0.868798M, mean epr 36.63, run loss 2423.34
time 00h 43m 06s, episodes 4705, frames 0.872116M, mean epr 188.38, run loss 2168.64
time 00h 43m 16s, episodes 4718, frames 0.875725M, mean epr -37.99, run loss 2174.46
time 00h 43m 26s, episodes 4729, frames 0.879170M, mean epr -245.21, run loss 3306.64
time 00h 43m 37s, episodes 4741, frames 0.882963M, mean epr 50.18, run loss 1644.82
time 00h 43m 47s, episodes 4750, frames 0.886394M, mean epr 187.33, run loss 2998.93
time 00h 43m 58s, episodes 4762, frames 0.890128M, mean epr -248.46, run loss 3412.94
time 00h 44m 08s, episodes 4773, frames 0.893667M, mean epr -39.67, run loss 2370.13
time 00h 44m 19s, episodes 4791, frames 0.897412M, mean epr -21.91, run loss 1703.86
time 00h 44m 29s, episodes 4802, frames 0.900875M, mean epr 64.54, run loss 2373.10
time 00h 44m 40s, episodes 4811, frames 0.904569M, mean epr -187.09, run loss 3092.45
time 00h 44m 50s, episodes 4817, frames 0.908180M, mean epr -15.40, run loss 2014.78
time 00h 45m 01s, episodes 4829, frames 0.911980M, mean epr -115.79, run loss 2788.58
time 00h 45m 12s, episodes 4838, frames 0.915668M, mean epr 28.97, run loss 2450.73
time 00h 45m 24s, episodes 4857, frames 0.919313M, mean epr -38.58, run loss 5430.57
