time 00h 17m 07s, episodes 1728, frames 0.2M, mean epr -519.34, run loss 2316.83
time 00h 17m 18s, episodes 1743, frames 0.2M, mean epr -509.61, run loss 2273.12
time 00h 17m 28s, episodes 1757, frames 0.2M, mean epr -501.71, run loss 2203.84
time 00h 17m 38s, episodes 1770, frames 0.2M, mean epr -496.22, run loss 2200.23
time 00h 17m 48s, episodes 1780, frames 0.2M, mean epr -501.32, run loss 2292.85
time 00h 17m 58s, episodes 1792, frames 0.2M, mean epr -514.91, run loss 2319.76
time 00h 18m 08s, episodes 1804, frames 0.2M, mean epr -510.54, run loss 2306.58
time 00h 18m 18s, episodes 1818, frames 0.2M, mean epr -512.41, run loss 2329.82
time 00h 18m 28s, episodes 1829, frames 0.2M, mean epr -512.33, run loss 2334.13
time 00h 18m 38s, episodes 1844, frames 0.2M, mean epr -511.52, run loss 2332.56
time 00h 18m 48s, episodes 1858, frames 0.2M, mean epr -503.77, run loss 2265.03
time 00h 18m 58s, episodes 1871, frames 0.2M, mean epr -502.90, run loss 2248.28
time 00h 19m 09s, episodes 1888, frames 0.2M, mean epr -499.40, run loss 2213.72
time 00h 19m 19s, episodes 1902, frames 0.2M, mean epr -489.79, run loss 2164.90
time 00h 19m 29s, episodes 1918, frames 0.2M, mean epr -497.74, run loss 2167.47
time 00h 19m 39s, episodes 1933, frames 0.2M, mean epr -490.81, run loss 2142.10
time 00h 19m 49s, episodes 1951, frames 0.2M, mean epr -494.65, run loss 2148.14
time 00h 20m 00s, episodes 1966, frames 0.2M, mean epr -498.15, run loss 2155.03
time 00h 20m 10s, episodes 1978, frames 0.2M, mean epr -504.23, run loss 2175.60
time 00h 20m 20s, episodes 1995, frames 0.2M, mean epr -509.40, run loss 2225.55
time 00h 20m 30s, episodes 2008, frames 0.2M, mean epr -505.77, run loss 2218.54
time 00h 20m 41s, episodes 2022, frames 0.2M, mean epr -512.59, run loss 2235.27
time 00h 20m 51s, episodes 2043, frames 0.2M, mean epr -525.51, run loss 2285.84
time 00h 21m 01s, episodes 2059, frames 0.2M, mean epr -531.22, run loss 2334.77
time 00h 21m 11s, episodes 2077, frames 0.2M, mean epr -533.52, run loss 2322.91
time 00h 21m 22s, episodes 2093, frames 0.2M, mean epr -536.49, run loss 2302.97
time 00h 21m 32s, episodes 2109, frames 0.2M, mean epr -537.04, run loss 2345.06
time 00h 21m 43s, episodes 2125, frames 0.2M, mean epr -533.20, run loss 2383.30
time 00h 21m 53s, episodes 2140, frames 0.2M, mean epr -540.90, run loss 2420.88
time 00h 22m 03s, episodes 2156, frames 0.2M, mean epr -544.94, run loss 2426.94
time 00h 22m 14s, episodes 2173, frames 0.2M, mean epr -552.55, run loss 2436.79
time 00h 22m 24s, episodes 2188, frames 0.2M, mean epr -547.43, run loss 2405.34
time 00h 22m 35s, episodes 2204, frames 0.2M, mean epr -548.28, run loss 2412.12
time 00h 22m 45s, episodes 2218, frames 0.2M, mean epr -540.31, run loss 2391.01
time 00h 22m 55s, episodes 2233, frames 0.2M, mean epr -527.69, run loss 2350.78
time 00h 23m 05s, episodes 2250, frames 0.2M, mean epr -508.82, run loss 2275.39
time 00h 23m 16s, episodes 2265, frames 0.2M, mean epr -515.58, run loss 2324.61
time 00h 23m 26s, episodes 2283, frames 0.2M, mean epr -519.23, run loss 2307.33
time 00h 23m 36s, episodes 2299, frames 0.2M, mean epr -526.80, run loss 2293.85
time 00h 23m 46s, episodes 2315, frames 0.2M, mean epr -513.70, run loss 2229.24
time 00h 23m 56s, episodes 2332, frames 0.3M, mean epr -497.80, run loss 2148.51
time 00h 24m 06s, episodes 2349, frames 0.3M, mean epr -488.95, run loss 2110.97
time 00h 24m 17s, episodes 2364, frames 0.3M, mean epr -496.24, run loss 2135.06
time 00h 24m 27s, episodes 2379, frames 0.3M, mean epr -495.98, run loss 2191.14
time 00h 24m 38s, episodes 2397, frames 0.3M, mean epr -485.52, run loss 2154.38
