
time 00h 09m 39s, episodes 698, frames 0.092201M, mean epr -123.52, run loss -4480.68
time 00h 09m 44s, episodes 698, frames 0.093031M, mean epr -123.52, run loss -4480.68
time 00h 09m 49s, episodes 699, frames 0.093831M, mean epr -448.80, run loss -118863.01
time 00h 09m 54s, episodes 699, frames 0.094655M, mean epr -448.80, run loss -118863.01
time 00h 09m 59s, episodes 699, frames 0.095538M, mean epr -448.80, run loss -118863.01
time 00h 10m 04s, episodes 699, frames 0.096366M, mean epr -448.80, run loss -118863.01
time 00h 10m 09s, episodes 699, frames 0.097177M, mean epr -448.80, run loss -118863.01
time 00h 10m 14s, episodes 699, frames 0.098002M, mean epr -448.80, run loss -118863.01
time 00h 10m 19s, episodes 699, frames 0.098799M, mean epr -448.80, run loss -118863.01
time 00h 10m 25s, episodes 699, frames 0.099719M, mean epr -448.80, run loss -118863.01
time 00h 10m 30s, episodes 699, frames 0.100522M, mean epr -448.80, run loss -118863.01
time 00h 10m 35s, episodes 699, frames 0.101351M, mean epr -448.80, run loss -118863.01
time 00h 10m 40s, episodes 699, frames 0.102148M, mean epr -448.80, run loss -118863.01
time 00h 10m 45s, episodes 700, frames 0.102980M, mean epr -452.95, run loss -119359.75
time 00h 10m 50s, episodes 702, frames 0.103874M, mean epr -113.55, run loss -1622.02
time 00h 10m 55s, episodes 702, frames 0.104693M, mean epr -113.55, run loss -1622.02
time 00h 11m 00s, episodes 702, frames 0.105500M, mean epr -113.55, run loss -1622.02
time 00h 11m 05s, episodes 702, frames 0.106297M, mean epr -113.55, run loss -1622.02
time 00h 11m 10s, episodes 702, frames 0.107093M, mean epr -113.55, run loss -1622.02
time 00h 11m 15s, episodes 702, frames 0.107905M, mean epr -113.55, run loss -1622.02
time 00h 11m 21s, episodes 704, frames 0.108676M, mean epr -117.20, run loss -2247.79
time 00h 11m 26s, episodes 705, frames 0.109490M, mean epr -120.49, run loss -2042.62
time 00h 11m 31s, episodes 708, frames 0.110317M, mean epr -451.51, run loss -119649.22
time 00h 11m 36s, episodes 714, frames 0.111220M, mean epr -117.47, run loss -3202.59
time 00h 11m 41s, episodes 722, frames 0.112027M, mean epr -114.98, run loss -3246.31
time 00h 11m 46s, episodes 730, frames 0.112848M, mean epr -121.86, run loss -4343.78
time 00h 11m 51s, episodes 735, frames 0.113656M, mean epr -118.31, run loss -2215.17
time 00h 11m 57s, episodes 743, frames 0.114553M, mean epr -127.16, run loss -7363.84
time 00h 12m 02s, episodes 751, frames 0.115379M, mean epr -113.29, run loss -1762.33
time 00h 12m 07s, episodes 757, frames 0.116213M, mean epr -120.89, run loss -4261.84
time 00h 12m 12s, episodes 767, frames 0.117026M, mean epr -109.04, run loss -1968.57
time 00h 12m 17s, episodes 773, frames 0.117928M, mean epr -115.02, run loss -3893.05
time 00h 12m 22s, episodes 780, frames 0.118757M, mean epr -121.19, run loss -4588.09
time 00h 12m 27s, episodes 786, frames 0.119570M, mean epr -120.06, run loss -3782.92
time 00h 12m 32s, episodes 791, frames 0.120376M, mean epr -115.60, run loss -2393.37
time 00h 12m 38s, episodes 798, frames 0.121283M, mean epr -120.23, run loss -3210.99
time 00h 12m 43s, episodes 802, frames 0.122104M, mean epr -117.63, run loss -3481.34
time 00h 12m 48s, episodes 806, frames 0.122899M, mean epr -121.12, run loss -4097.22
time 00h 12m 53s, episodes 810, frames 0.123715M, mean epr -113.00, run loss -2109.91
time 00h 12m 58s, episodes 817, frames 0.124522M, mean epr -128.16, run loss -6012.30
time 00h 13m 04s, episodes 820, frames 0.125444M, mean epr -126.23, run loss -4310.97
time 00h 13m 09s, episodes 825, frames 0.126265M, mean epr -116.16, run loss -3051.68
time 00h 13m 14s, episodes 830, frames 0.127164M, mean epr -119.00, run loss -2796.39
time 00h 13m 19s, episodes 834, frames 0.127973M, mean epr -121.22, run loss -3113.47
