
time 00h 27m 51s, episodes 3913, frames 0.531769M, mean epr -203.30, run loss 3234.36
time 00h 28m 01s, episodes 3929, frames 0.535289M, mean epr -230.57, run loss 2404.50
time 00h 28m 11s, episodes 3940, frames 0.538620M, mean epr -126.12, run loss 1474.64
time 00h 28m 21s, episodes 3961, frames 0.542062M, mean epr -94.98, run loss 2438.65
time 00h 28m 31s, episodes 3977, frames 0.545388M, mean epr -166.80, run loss 1439.51
time 00h 28m 41s, episodes 3991, frames 0.548829M, mean epr -105.94, run loss 1459.29
time 00h 28m 53s, episodes 4003, frames 0.552543M, mean epr 15.54, run loss 1734.71
time 00h 29m 03s, episodes 4015, frames 0.555871M, mean epr -98.52, run loss 1851.84
time 00h 29m 14s, episodes 4034, frames 0.559598M, mean epr -56.80, run loss 2471.43
time 00h 29m 24s, episodes 4048, frames 0.563263M, mean epr -269.85, run loss 2963.02
time 00h 29m 36s, episodes 4065, frames 0.567318M, mean epr -230.33, run loss 2346.26
time 00h 29m 46s, episodes 4074, frames 0.570759M, mean epr -112.06, run loss 2151.58
time 00h 29m 56s, episodes 4090, frames 0.574281M, mean epr -100.58, run loss 1605.64
time 00h 30m 08s, episodes 4105, frames 0.578110M, mean epr 4.03, run loss 3097.01
time 00h 30m 18s, episodes 4121, frames 0.581552M, mean epr -233.37, run loss 2928.72
time 00h 30m 28s, episodes 4131, frames 0.585243M, mean epr -141.78, run loss 1398.42
time 00h 30m 40s, episodes 4153, frames 0.589502M, mean epr -195.42, run loss 2335.03
time 00h 30m 50s, episodes 4166, frames 0.592982M, mean epr 298.73, run loss 1457.77
time 00h 31m 00s, episodes 4182, frames 0.596440M, mean epr -150.77, run loss 2887.49
time 00h 31m 11s, episodes 4194, frames 0.600274M, mean epr -251.48, run loss 2340.75
time 00h 31m 23s, episodes 4213, frames 0.604317M, mean epr -131.90, run loss 2227.02
time 00h 31m 33s, episodes 4225, frames 0.607767M, mean epr 16.46, run loss 1121.67
time 00h 31m 45s, episodes 4237, frames 0.611916M, mean epr -134.21, run loss 1822.16
time 00h 31m 56s, episodes 4246, frames 0.615662M, mean epr -57.87, run loss 2493.15
time 00h 32m 06s, episodes 4260, frames 0.619179M, mean epr -173.39, run loss 2663.99
time 00h 32m 16s, episodes 4281, frames 0.622913M, mean epr 28.14, run loss 948.15
time 00h 32m 27s, episodes 4295, frames 0.626632M, mean epr -93.98, run loss 2118.08
time 00h 32m 37s, episodes 4310, frames 0.630066M, mean epr -284.80, run loss 3761.79
time 00h 32m 48s, episodes 4316, frames 0.633736M, mean epr -208.20, run loss 2053.37
time 00h 32m 58s, episodes 4336, frames 0.637458M, mean epr 305.52, run loss 1782.02
time 00h 33m 09s, episodes 4352, frames 0.640917M, mean epr -229.21, run loss 2446.54
time 00h 33m 19s, episodes 4367, frames 0.644402M, mean epr -31.87, run loss 1754.90
time 00h 33m 30s, episodes 4375, frames 0.647901M, mean epr -36.79, run loss 2104.39
time 00h 33m 40s, episodes 4391, frames 0.651395M, mean epr 21.31, run loss 2131.31
time 00h 33m 51s, episodes 4402, frames 0.655430M, mean epr -250.50, run loss 1976.67
time 00h 34m 01s, episodes 4421, frames 0.658886M, mean epr -9.78, run loss 2082.08
time 00h 34m 13s, episodes 4436, frames 0.662888M, mean epr -33.98, run loss 2982.26
time 00h 34m 23s, episodes 4455, frames 0.666643M, mean epr 61.23, run loss 1806.49
time 00h 34m 34s, episodes 4466, frames 0.670166M, mean epr 7.84, run loss 2711.64
time 00h 34m 44s, episodes 4478, frames 0.673659M, mean epr -62.21, run loss 1612.74
time 00h 34m 54s, episodes 4489, frames 0.677313M, mean epr -25.24, run loss 1824.13
time 00h 35m 05s, episodes 4504, frames 0.681060M, mean epr 44.91, run loss 1321.27
time 00h 35m 15s, episodes 4520, frames 0.684647M, mean epr -127.62, run loss 1358.61
time 00h 35m 26s, episodes 4531, frames 0.688135M, mean epr -5.31, run loss 1985.57
time 00h 35m 37s, episodes 4548, frames 0.692060M, mean epr 9.45, run loss 1366.54
time 00h 35m 48s, episodes 4567, frames 0.695655M, mean epr -47.77, run loss 1862.60
time 00h 35m 59s, episodes 4584, frames 0.699470M, mean epr 37.61, run loss 1450.18
time 00h 36m 09s, episodes 4594, frames 0.702998M, mean epr -188.50, run loss 2404.45
time 00h 36m 21s, episodes 4616, frames 0.707345M, mean epr -29.72, run loss 1650.13
time 00h 36m 31s, episodes 4629, frames 0.710827M, mean epr 23.21, run loss 3060.21
time 00h 36m 41s, episodes 4644, frames 0.714506M, mean epr -23.55, run loss 1444.84
time 00h 36m 54s, episodes 4662, frames 0.718505M, mean epr -15.07, run loss 1063.31
time 00h 37m 04s, episodes 4677, frames 0.722011M, mean epr 44.58, run loss 1376.57
time 00h 37m 14s, episodes 4684, frames 0.725568M, mean epr 197.50, run loss 2515.23
time 00h 37m 24s, episodes 4695, frames 0.728983M, mean epr -4.79, run loss 2577.78
time 00h 37m 34s, episodes 4709, frames 0.732335M, mean epr -44.57, run loss 2674.88
time 00h 37m 44s, episodes 4731, frames 0.735756M, mean epr -73.27, run loss 2015.24
time 00h 37m 54s, episodes 4737, frames 0.739246M, mean epr -84.97, run loss 2308.27
time 00h 38m 04s, episodes 4754, frames 0.742642M, mean epr -122.37, run loss 1845.56
time 00h 38m 14s, episodes 4772, frames 0.746057M, mean epr 58.36, run loss 1388.13
time 00h 38m 24s, episodes 4785, frames 0.749540M, mean epr -68.46, run loss 2307.11
time 00h 38m 34s, episodes 4797, frames 0.752951M, mean epr -100.51, run loss 2287.17
time 00h 38m 44s, episodes 4813, frames 0.756499M, mean epr -65.60, run loss 2541.02
time 00h 38m 54s, episodes 4823, frames 0.759926M, mean epr 267.47, run loss 1949.82
time 00h 39m 04s, episodes 4836, frames 0.763450M, mean epr -172.73, run loss 1380.18
time 00h 39m 14s, episodes 4850, frames 0.766944M, mean epr -11.74, run loss 803.16
time 00h 39m 25s, episodes 4868, frames 0.770469M, mean epr -155.72, run loss 2356.32
time 00h 39m 36s, episodes 4884, frames 0.774264M, mean epr 23.25, run loss 1741.07
time 00h 39m 46s, episodes 4894, frames 0.777752M, mean epr 50.34, run loss 1490.84
time 00h 39m 56s, episodes 4908, frames 0.781220M, mean epr -166.36, run loss 2700.12
time 00h 40m 06s, episodes 4916, frames 0.784769M, mean epr 11.33, run loss 3181.23
time 00h 40m 16s, episodes 4926, frames 0.788139M, mean epr -109.27, run loss 1242.62
time 00h 40m 27s, episodes 4937, frames 0.791786M, mean epr 46.13, run loss 2287.58
time 00h 40m 37s, episodes 4945, frames 0.795130M, mean epr -53.17, run loss 1942.80
time 00h 40m 48s, episodes 4954, frames 0.798839M, mean epr 206.50, run loss 2603.56
time 00h 40m 58s, episodes 4962, frames 0.802243M, mean epr -300.57, run loss 4023.44
time 00h 41m 09s, episodes 4970, frames 0.806250M, mean epr 19.92, run loss 1256.14
time 00h 41m 20s, episodes 4974, frames 0.809645M, mean epr -48.91, run loss 1974.05
time 00h 41m 30s, episodes 4979, frames 0.813030M, mean epr -48.70, run loss 2736.89
time 00h 41m 41s, episodes 4987, frames 0.817000M, mean epr -276.80, run loss 5553.22
time 00h 41m 53s, episodes 5001, frames 0.820975M, mean epr -123.73, run loss 5311.80
time 00h 42m 03s, episodes 5007, frames 0.824500M, mean epr -18.65, run loss 1851.06
time 00h 42m 15s, episodes 5011, frames 0.828359M, mean epr -38.10, run loss 1809.36
time 00h 42m 25s, episodes 5022, frames 0.831645M, mean epr 0.19, run loss 2231.05
time 00h 42m 35s, episodes 5041, frames 0.835062M, mean epr 239.16, run loss 1591.04
time 00h 42m 45s, episodes 5054, frames 0.838291M, mean epr 250.49, run loss 2443.14
time 00h 42m 55s, episodes 5061, frames 0.841757M, mean epr -169.02, run loss 1529.13
time 00h 43m 05s, episodes 5071, frames 0.845296M, mean epr -21.11, run loss 2789.22
time 00h 43m 17s, episodes 5090, frames 0.849463M, mean epr -189.75, run loss 2519.06
time 00h 43m 28s, episodes 5099, frames 0.853036M, mean epr 65.22, run loss 1499.03
time 00h 43m 38s, episodes 5109, frames 0.856590M, mean epr -85.22, run loss 2736.15
time 00h 43m 48s, episodes 5121, frames 0.859981M, mean epr -30.51, run loss 1776.93
time 00h 44m 00s, episodes 5131, frames 0.864125M, mean epr -91.51, run loss 3241.00
time 00h 44m 10s, episodes 5141, frames 0.867557M, mean epr -210.01, run loss 2274.39
time 00h 44m 20s, episodes 5148, frames 0.870896M, mean epr -229.46, run loss 4245.53
time 00h 44m 30s, episodes 5152, frames 0.874204M, mean epr 28.74, run loss 2508.31
time 00h 44m 42s, episodes 5168, frames 0.878195M, mean epr 266.71, run loss 2034.32
time 00h 44m 54s, episodes 5185, frames 0.882234M, mean epr 9.94, run loss 2292.42
time 00h 45m 06s, episodes 5199, frames 0.886248M, mean epr 8.62, run loss 1384.32
time 00h 45m 16s, episodes 5205, frames 0.889717M, mean epr -1.22, run loss 2218.17
time 00h 45m 26s, episodes 5216, frames 0.893019M, mean epr -40.46, run loss 1744.56
time 00h 45m 36s, episodes 5228, frames 0.896412M, mean epr 216.71, run loss 3321.28
time 00h 45m 46s, episodes 5238, frames 0.899930M, mean epr -26.23, run loss 2118.50
time 00h 45m 56s, episodes 5248, frames 0.903428M, mean epr 13.20, run loss 2816.13
time 00h 46m 08s, episodes 5265, frames 0.907408M, mean epr -27.44, run loss 2304.67
time 00h 46m 18s, episodes 5276, frames 0.910886M, mean epr 8.53, run loss 3580.49
time 00h 46m 28s, episodes 5287, frames 0.914555M, mean epr 0.92, run loss 1622.66
time 00h 46m 39s, episodes 5300, frames 0.918377M, mean epr 11.01, run loss 1261.07
time 00h 46m 51s, episodes 5313, frames 0.922250M, mean epr -169.16, run loss 2045.02
time 00h 47m 02s, episodes 5332, frames 0.925881M, mean epr -56.39, run loss 3012.70
time 00h 47m 12s, episodes 5342, frames 0.929396M, mean epr 30.11, run loss 2213.81
time 00h 47m 22s, episodes 5351, frames 0.932972M, mean epr -30.72, run loss 1265.88
time 00h 47m 34s, episodes 5365, frames 0.937241M, mean epr 30.95, run loss 2263.66
time 00h 47m 45s, episodes 5374, frames 0.940657M, mean epr -5.50, run loss 2618.48
time 00h 47m 55s, episodes 5391, frames 0.943974M, mean epr 12.78, run loss 1814.13
time 00h 48m 05s, episodes 5402, frames 0.947583M, mean epr -31.20, run loss 2742.62
time 00h 48m 15s, episodes 5419, frames 0.951401M, mean epr 25.51, run loss 2715.73
time 00h 48m 25s, episodes 5428, frames 0.954902M, mean epr 36.44, run loss 1491.82
time 00h 48m 35s, episodes 5436, frames 0.958298M, mean epr -41.59, run loss 1949.71
time 00h 48m 46s, episodes 5450, frames 0.961721M, mean epr -72.96, run loss 2678.51
time 00h 48m 56s, episodes 5460, frames 0.965347M, mean epr -273.41, run loss 2627.85
time 00h 49m 06s, episodes 5477, frames 0.968885M, mean epr 205.97, run loss 2846.11
time 00h 49m 18s, episodes 5487, frames 0.972888M, mean epr -179.26, run loss 3485.60
time 00h 49m 28s, episodes 5508, frames 0.976361M, mean epr -147.26, run loss 1755.33
time 00h 49m 38s, episodes 5523, frames 0.979939M, mean epr -13.25, run loss 1638.50
time 00h 49m 50s, episodes 5532, frames 0.984108M, mean epr -11.27, run loss 2089.61
time 00h 50m 01s, episodes 5542, frames 0.987701M, mean epr 27.71, run loss 2386.95
time 00h 50m 12s, episodes 5557, frames 0.991687M, mean epr -47.31, run loss 2554.80
time 00h 50m 22s, episodes 5571, frames 0.995150M, mean epr -47.16, run loss 2475.08
time 00h 50m 32s, episodes 5584, frames 0.998468M, mean epr 249.91, run loss 2105.52

	1M frames: saved model

time 00h 50m 44s, episodes 5590, frames 1.002638M, mean epr -160.67, run loss 2500.66
time 00h 50m 55s, episodes 5609, frames 1.006628M, mean epr -59.12, run loss 1243.24
time 00h 51m 05s, episodes 5628, frames 1.010101M, mean epr 247.63, run loss 3123.92
time 00h 51m 16s, episodes 5633, frames 1.013801M, mean epr -28.45, run loss 2468.82
time 00h 51m 28s, episodes 5645, frames 1.017767M, mean epr -14.27, run loss 1447.70
time 00h 51m 39s, episodes 5660, frames 1.021830M, mean epr -25.72, run loss 2260.48
time 00h 51m 51s, episodes 5670, frames 1.026035M, mean epr 75.92, run loss 2446.98
time 00h 52m 02s, episodes 5678, frames 1.029835M, mean epr 33.72, run loss 2607.80
time 00h 52m 13s, episodes 5692, frames 1.033415M, mean epr -35.47, run loss 3732.07
time 00h 52m 23s, episodes 5705, frames 1.036701M, mean epr -368.71, run loss 4605.53
time 00h 52m 34s, episodes 5718, frames 1.040737M, mean epr -57.98, run loss 3081.57
time 00h 52m 44s, episodes 5728, frames 1.044227M, mean epr -0.68, run loss 2150.87
time 00h 52m 55s, episodes 5744, frames 1.047886M, mean epr -30.98, run loss 2542.93
time 00h 53m 07s, episodes 5755, frames 1.052022M, mean epr -232.45, run loss 3317.58
time 00h 53m 17s, episodes 5770, frames 1.055487M, mean epr -216.26, run loss 2486.00
time 00h 53m 27s, episodes 5778, frames 1.058989M, mean epr -221.42, run loss 2515.02
time 00h 53m 37s, episodes 5792, frames 1.062533M, mean epr 2.05, run loss 2687.73
time 00h 53m 48s, episodes 5803, frames 1.066482M, mean epr 10.13, run loss 2766.56
time 00h 54m 00s, episodes 5813, frames 1.070695M, mean epr -169.54, run loss 3468.43
time 00h 54m 10s, episodes 5823, frames 1.074196M, mean epr 177.62, run loss 3290.38
time 00h 54m 22s, episodes 5835, frames 1.078127M, mean epr 259.96, run loss 2171.07
time 00h 54m 32s, episodes 5845, frames 1.081436M, mean epr 279.28, run loss 1676.66
time 00h 54m 42s, episodes 5852, frames 1.085082M, mean epr -15.90, run loss 2212.43
time 00h 54m 54s, episodes 5863, frames 1.088854M, mean epr -34.14, run loss 2235.88
